stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Tower\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07302] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07303] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07305] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07306] added dtor for sample_instance 0000000000E566E0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07308] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07309] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07310] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07311] added dtor for sample_instance 0000000000E56800, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07313] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07314] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07315] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07317] added dtor for sample_instance 0000000000E569B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07319] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07321] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07323] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07325] added dtor for sample_instance 0000000000E56AD0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07327] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07329] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07331] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07333] added dtor for sample_instance 0000000000E56BF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07335] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07337] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07338] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07340] added dtor for sample_instance 0000000000E56D10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07341] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07343] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07344] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07345] added dtor for sample_instance 0000000000E56E30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07348] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07349] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07351] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07352] added dtor for sample_instance 0000000000E57760, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07354] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07355] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07356] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07358] added dtor for sample_instance 0000000000E58530, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07360] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07361] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07363] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07364] added dtor for sample_instance 0000000000E57E70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07366] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07367] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07368] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07370] added dtor for sample_instance 0000000000E578D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07372] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07373] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07374] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07376] added dtor for sample_instance 0000000000E580B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07377] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07379] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07380] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07381] added dtor for sample_instance 0000000000E58650, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07383] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07384] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07385] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07387] added dtor for sample_instance 0000000000E581D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07388] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07389] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07391] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07392] added dtor for sample_instance 0000000000E582F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07394] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07396] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07398] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07400] added dtor for sample_instance 0000000000E579F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07402] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07404] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07406] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07408] added dtor for sample_instance 0000000000E57F90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07410] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07413] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07414] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07416] added dtor for sample_instance 0000000000E57B10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07419] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07421] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07423] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07425] added dtor for sample_instance 0000000000E57C30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07428] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07430] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07432] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07434] added dtor for sample_instance 0000000000E58410, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07437] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07439] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07440] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07443] added dtor for sample_instance 0000000000E57D50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07445] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07447] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07449] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07454] added dtor for sample_instance 0000000000E59930, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07456] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07457] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07459] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07461] added dtor for sample_instance 0000000000E5AD70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07463] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07464] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07466] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07468] added dtor for sample_instance 0000000000E59810, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07471] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07472] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07474] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07475] added dtor for sample_instance 0000000000E59DB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07476] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07478] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07479] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07480] added dtor for sample_instance 0000000000E5A590, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07482] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07483] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07485] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07486] added dtor for sample_instance 0000000000E58F10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07488] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07489] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07490] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07492] added dtor for sample_instance 0000000000E596F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07493] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07495] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07497] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07506] added dtor for sample_instance 0000000000E5A7D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07508] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07509] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07510] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07512] added dtor for sample_instance 0000000000E5A6B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07513] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07514] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07516] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07517] added dtor for sample_instance 0000000000E595D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07519] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07520] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07521] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07523] added dtor for sample_instance 0000000000E5AB30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07526] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07527] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07529] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07531] added dtor for sample_instance 0000000000E59030, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07533] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07534] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07535] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07537] added dtor for sample_instance 0000000000E5A8F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07539] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07541] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07542] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07544] added dtor for sample_instance 0000000000E59A50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07545] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07547] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07549] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07551] added dtor for sample_instance 0000000000E5A110, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07552] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07554] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07556] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07558] added dtor for sample_instance 0000000000E594B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07559] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07560] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07562] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07563] added dtor for sample_instance 0000000000E5AC50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07565] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07566] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07568] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07569] added dtor for sample_instance 0000000000E5AA10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07571] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07572] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07573] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07575] added dtor for sample_instance 0000000000E5A230, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07578] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07579] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07580] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07582] added dtor for sample_instance 0000000000E5A350, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07585] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07586] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07587] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07589] added dtor for sample_instance 0000000000E59150, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07590] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07592] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07593] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07596] added dtor for sample_instance 0000000000E59270, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07597] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07598] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07600] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07601] added dtor for sample_instance 0000000000E59B70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07603] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07604] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07606] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07608] added dtor for sample_instance 0000000000E59C90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07610] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07612] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07613] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07615] added dtor for sample_instance 0000000000E59390, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07617] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07619] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07620] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07621] added dtor for sample_instance 0000000000E59ED0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07623] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07625] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07627] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07628] added dtor for sample_instance 0000000000E59FF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07630] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07632] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07633] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07634] added dtor for sample_instance 0000000000E5A470, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07636] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07637] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07638] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07642] added dtor for sample_instance 0000000000E5D530, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07644] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07645] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07647] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07649] added dtor for sample_instance 0000000000E5D0B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07651] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07653] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07655] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07657] added dtor for sample_instance 0000000000E5CE70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07659] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07660] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07662] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07664] added dtor for sample_instance 0000000000E5C9F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07666] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07668] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07669] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07671] added dtor for sample_instance 0000000000E5CB10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07672] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07674] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07675] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07676] added dtor for sample_instance 0000000000E5BFD0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07678] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07679] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07680] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07681] added dtor for sample_instance 0000000000E5C0F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07683] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07684] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07685] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07687] added dtor for sample_instance 0000000000E5C450, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07688] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07689] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07690] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07692] added dtor for sample_instance 0000000000E5D1D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07694] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07695] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07696] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07697] added dtor for sample_instance 0000000000E5C690, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07699] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07700] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07701] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07703] added dtor for sample_instance 0000000000E5C570, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07704] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07705] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07707] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07708] added dtor for sample_instance 0000000000E5CD50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07710] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07711] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07713] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07715] added dtor for sample_instance 0000000000E5D2F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07717] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07719] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07720] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07722] added dtor for sample_instance 0000000000E5BEB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07724] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07726] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07728] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07730] added dtor for sample_instance 0000000000E5CC30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07732] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07734] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07735] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07737] added dtor for sample_instance 0000000000E5CF90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07739] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07741] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07742] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07743] added dtor for sample_instance 0000000000E5BB50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07745] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07746] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.07747] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.07748] added dtor for sample_instance 0000000000E5C7B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.07750] sample matrix:
